Leap Controller X;Leap Controller Y;Leap Controller Z;Reference Index X;Reference Index Y;Reference Index Z;Measured Index X;Measured Index Y;Measured Index Z;Reference Wrist X;Reference Wrist Y;Reference Wrist Z;Measured Wrist X;Measured Wrist Y;Measured Wrist Z;Reference Thumb X;Reference Thumb Y;Reference Thumb Z;Measured Thumb X;Measured Thumb Y;Measured Thumb Z
0;0.04;0.0085;0.0302;0.1095;0.2;0.02852707;0.1002338;0.2013485;0.004;-0.048;0.2;-0.006821804;-0.04906901;0.2051102;0.04629;0.05559999;0.2;0.04217006;0.05451893;0.2121147
0.04;0.04;0.0085;0.0302;0.1095;0.2;0.02808331;0.09555114;0.1943918;0.004;-0.048;0.2;-0.005835567;-0.04898002;0.2053552;0.04629;0.05559999;0.2;0.04104785;0.05148169;0.2064164
0.08;0.04;0.0085;0.0302;0.1095;0.2;0.02555174;0.09114221;0.1822901;0.004;-0.048;0.2;-0.003054097;-0.05089455;0.2047096;0.04629;0.05559999;0.2;0.0402152;0.04961141;0.2017566
0.12;0.04;0.0085;0.0302;0.1095;0.2;0.02517867;0.09196372;0.1824294;0.004;-0.048;0.2;-0.003207535;-0.05236297;0.2028302;0.04629;0.05559999;0.2;0.03990257;0.05037076;0.1982374
0.16;0.04;0.0085;0.0302;0.1095;0.2;0.02604873;0.09411724;0.179599;0.004;-0.048;0.2;-0.001838833;-0.05108983;0.2013265;0.04629;0.05559999;0.2;0.03966634;0.05025173;0.1943467
0.2;0.04;0.0085;0.0302;0.1095;0.2;0.02817246;0.09423958;0.1799919;0.004;-0.048;0.2;-0.001874417;-0.05058699;0.2001004;0.04629;0.05559999;0.2;0.04225075;0.04967668;0.1913423
0.24;0.04;0.0085;0.0302;0.1095;0.2;0.03053699;0.09293924;0.1780562;0.004;-0.048;0.2;0.001039937;-0.052711;0.1967673;0.04629;0.05559999;0.2;0.04275824;0.04951084;0.189541
0.28;0.04;0.0085;0.0302;0.1095;0.2;0.03592989;0.09818289;0.1782623;0.004;-0.048;0.2;0.002736479;-0.0439635;0.1940874;0.04629;0.05559999;0.2;0.04633814;0.05380461;0.1897769
0.32;0.04;0.0085;0.0302;0.1095;0.2;0.03960809;0.08981454;0.1732938;0.004;-0.048;0.2;0.01019064;-0.05032542;0.1890771;0.04629;0.05559999;0.2;0.04974404;0.04781977;0.1844954
0.32;0.08;0.0085;0.0302;0.1095;0.2;0.04145163;0.09133968;0.171017;0.004;-0.048;0.2;0.01387975;-0.04646613;0.1873936;0.04629;0.05559999;0.2;0.05053926;0.05011691;0.1832934
0.28;0.08;0.0085;0.0302;0.1095;0.2;0.03584078;0.0939786;0.1753523;0.004;-0.048;0.2;0.007756352;-0.04724903;0.1927112;0.04629;0.05559999;0.2;0.04710384;0.05126767;0.1865937
0.24;0.08;0.0085;0.0302;0.1095;0.2;0.03094952;0.09777315;0.1790312;0.004;-0.048;0.2;0.003444493;-0.04746942;0.195319;0.04629;0.05559999;0.2;0.04070212;0.05269098;0.1905624
0.2;0.08;0.0085;0.0302;0.1095;0.2;0.02960858;0.1007375;0.1805657;0.004;-0.048;0.2;-0.002038553;-0.0431755;0.1984938;0.04629;0.05559999;0.2;0.03852351;0.05408515;0.1937999
